EmployeeID,FirstName,LastName,Role,StoreID
1,Crystal,Houston,Cashier,22
2,Tara,Hill,Customer Service,19
3,Miguel,Horn,Manager,9
4,Crystal,Hill,Cashier,13
5,Matthew,Wilson,Customer Service,6
6,Carla,Gould,Inventory,9
7,Kristina,Allen,Cashier,18
8,Jason,Moody,Inventory,22
9,Jennifer,Jackson,Inventory,6
10,Kurt,Miranda,Customer Service,4
11,Veronica,Walker,Manager,17
12,Jeremy,Hernandez,Customer Service,16
13,Victoria,Gray,Cashier,17
14,Tanya,Hernandez,Cashier,18
15,Cheryl,Hampton,Customer Service,12
16,Christian,Brown,Customer Service,11
17,Vicki,Yoder,Manager,9
18,Stacey,Lyons,Inventory,2
19,Terri,Mitchell,Marketing,21
20,Susan,Ramos,Manager,19
21,Tammy,Cooper,Cashier,11
22,Gregory,Hamilton,Manager,3
23,Adriana,Mason,Inventory,22
24,David,Williamson,Customer Service,12
25,Jonathan,Garcia,Customer Service,11
26,Matthew,Cowan,Cashier,23
27,Jessica,Foster,Inventory,23
28,Aaron,Miller,Manager,25
29,Kara,Bishop,Inventory,5
30,Matthew,Russell,Inventory,6
31,Brandon,Jimenez,Marketing,4
32,Pamela,Collins,Inventory,15
33,Jennifer,Atkins,Cashier,8
34,Jessica,Hernandez,Inventory,9
35,Christian,Russell,Inventory,4
36,Nicholas,Potts,Cashier,3
37,Kenneth,Olson,Customer Service,16
38,Emily,Cook,Customer Service,14
39,Julie,Page,Cashier,25
40,Kimberly,Anderson,Inventory,9
41,Kathleen,Joyce,Manager,6
42,John,Steele,Inventory,1
43,Lisa,Salinas,Marketing,9
44,Katherine,Smith,Marketing,4
45,Michelle,Taylor,Marketing,21
46,Charles,Robinson,Inventory,13
47,Cynthia,Jenkins,Cashier,1
48,Paula,Lewis,Marketing,20
49,Tami,Jones,Manager,14
50,Carlos,Bishop,Marketing,8
51,Adam,Ramirez,Manager,20
52,Stephen,Gilbert,Inventory,8
53,Keith,Mcclure,Manager,8
54,Spencer,Turner,Marketing,20
55,Sara,Oliver,Customer Service,3
56,Ashley,White,Inventory,24
57,Jason,Thompson,Inventory,2
58,Thomas,Walters,Customer Service,11
59,David,Keller,Manager,23
60,Cody,Gonzales,Customer Service,24
61,Hayley,Freeman,Marketing,19
62,Ronnie,Allen,Marketing,5
63,Alicia,Bell,Cashier,22
64,Brian,Schmidt,Inventory,15
65,Richard,Waters,Cashier,22
66,Charles,White,Manager,6
67,Edward,Cole,Cashier,9
68,Zachary,Kim,Cashier,25
69,James,House,Marketing,18
70,Victor,Lang,Marketing,2
71,Manuel,Larson,Customer Service,17
72,Alex,Simpson,Customer Service,3
73,Frank,Proctor,Customer Service,21
74,Dawn,Ramirez,Cashier,2
75,John,Butler,Cashier,12
76,Jessica,Perez,Marketing,8
77,Erin,Jimenez,Inventory,10
78,Andrew,Taylor,Customer Service,2
79,Russell,Myers,Cashier,18
80,Dustin,Norris,Cashier,24
81,Ashley,Howard,Cashier,4
82,Phillip,Khan,Cashier,9
83,Jonathan,Jackson,Cashier,16
84,John,Moore,Customer Service,25
85,Dawn,Brown,Customer Service,15
86,Natalie,Taylor,Inventory,15
87,Thomas,Jenkins,Cashier,20
88,Brian,Thomas,Marketing,3
89,Kelly,Webb,Manager,23
90,Jennifer,King,Customer Service,10
91,Laura,Miranda,Marketing,1
92,Brittney,Porter,Customer Service,21
93,Chelsea,Cline,Customer Service,7
94,Crystal,Mathews,Manager,17
95,Amy,Young,Cashier,21
96,Nancy,Meza,Customer Service,8
97,Danielle,Wallace,Inventory,20
98,Steven,Johnson,Customer Service,8
99,Samuel,Moore,Manager,2
100,Kelsey,Osborne,Cashier,22
101,Calvin,Campbell,Marketing,16
102,Stephanie,Middleton,Inventory,4
103,Logan,Wheeler,Manager,11
104,Troy,Foster,Manager,14
105,Leslie,Riley,Cashier,22
106,Erik,Schwartz,Marketing,4
107,Melissa,Spencer,Inventory,20
